164,111
150,195
135,278
127,357
200,395
207,299
223,216
239,131
310,146
296,232
287,325
269,408
344,434
359,338
375,256
381,168
456,189
447,271
432,357
412,462
323,64
395,85
477,109
535,217
543,130
621,153
635,73
691,173
557,57
607,236
589,321
589,321
519,306
679,261
668,349
585,409
507,385
493,477
161,110
148,195
136,274
210,295
202,384
270,405
228,213
295,232
375,249
240,133
305,152
324,64
407,85
458,189
522,300
473,111
435,363
356,343
356,343
347,423
148,194
139,281
123,359
196,393
285,313
298,241
278,410
374,248
367,332
430,359
343,430
415,445
447,270
171,108
233,131
307,153
380,167
456,188
165,109
147,193
136,271
215,306
203,386
203,386
270,409
287,324
299,237
231,217
315,150
381,170
376,254
359,337
348,422
433,357
425,441
445,281
163,112
151,188
137,275
225,214
243,126
212,297
201,387
125,369
287,324
295,234
369,251
385,161
459,186
445,277
431,358
431,358
360,337
152,200
134,277
166,113
228,213
207,303
240,132
303,233
312,153
285,321
372,251
227,213
155,193
300,235
371,250
211,303
289,323
130,282
248,133
223,210
306,148
303,229
242,139
223,222
209,296
201,400
189,466
241,138
220,215
299,237
308,156
384,174
455,198
370,256
517,302
444,271
234,135
219,214
308,147
298,235
213,297
284,320
197,389
238,129
310,150
233,129
379,171
239,134
312,151
387,168
225,212
